,mean,treatment
JCK1,23.908,JCK
JCK2,18.95,JCK
JCK3,19.256,JCK
JB1,18.62,JB
JB2,16.684,JB
JB3,18.49,JB
JF1,15.25,JF
JF2,12.986,JF
JF3,16.25,JF
JL1,18.32,JL
JL2,16.77,JL
JL3,17.888,JL
JA1,18.49,JA
JA2,17.85,JA
JA3,16.25,JA
JAB1,18.62,JAB
JAB2,20.812,JAB
JAB3,16.082,JAB
JAF1,15.566,JAF
JAF2,15.23,JAF
JAF3,16.168,JAF
JAL1,15.566,JAL
JAL2,16.45,JAL
JAL3,18.834,JAL
